intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.102184,0.075013,0.088786,0.025038,0.094665,0.892332,0.012001,100,0
0.122242,0.15783,0.222659,0.135379,0.231202,0.805132,0.058773,100,1
0.149053,0.157808,0.234631,0.07382,0.128621,0.757988,0.022151,50,0
0.137195,0.173255,0.234797,0.094794,0.204543,0.765975,0.054058,500,1
0.154512,0.129611,0.125667,0.066044,0.131155,0.852905,0.030319,500,0
0.154807,0.159099,0.240693,0.050411,0.104351,0.760842,0.029013,200,0
0.124607,0.17444,0.041565,0.024661,0.109168,0.796128,0.01901,100,0
0.090374,0.198328,0.237984,0.008363,0.052417,0.76655,0.010355,500,1
0.180327,0.112763,0.105368,0.009068,0.151473,0.84593,0.018305,100,0
0.135499,0.233641,0.112661,0.078946,0.135563,0.79884,0.020221,200,0
0.155084,0.171915,0.179377,0.057455,0.069224,0.833514,0.037207,500,1
0.125532,0.115483,0.140144,0.018953,0.076603,0.831126,0.015655,20,0
0.159602,0.169801,0.129923,0.169139,0.30957,0.846425,0.075117,200,1
0.175595,0.200668,0.108633,0.03701,0.103288,0.844331,0.0192,500,1
0.185824,0.226025,0.275603,0.074891,0.144922,0.757591,0.018248,20,0
0.100776,0.076824,0.08138,0.035452,0.044572,0.895909,0.011261,200,0
0.169102,0.203866,0.353307,0.082918,0.154345,0.68077,0.02411,100,1
0.163423,0.179322,0.160936,0.097302,0.12849,0.838048,0.055383,200,1
0.16332,0.145796,0.116856,0.004447,0.146017,0.847778,0.034087,500,0
0.184339,0.158782,0.029978,0.032209,0.034788,0.841621,0.011915,20,0
0.333318,0.337318,0.271452,0.055206,0.052405,0.718534,0.0152,500,0
0.140301,0.178698,0.206571,0.017613,0.072049,0.811857,0.01617,500,1
